indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
——————————————,8911,subspecies,-2443993,A.Saimiri oerstedii oerstedii,EOL-000000641205,B.Saimiri oerstedii oerstedii,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
——————————————,8912,subspecies,-2443994,A.Saimiri oerstedii citrinellus,EOL-000000641206,B.Saimiri oerstedii citrinellus,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
—————————————,8913,species,-2436655,A.Saimiri macrodon,EOL-000000641207,B.Saimiri macrodon,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8914,species,-2436656,A.Saimiri cassiquiarensis,EOL-000000641208,B.Saimiri cassiquiarensis,=,,,,scientificName,source; taxonomicStatus,
——————————————,8915,subspecies,-2443997,A.Saimiri cassiquiarensis albigena,EOL-000000641209,B.Saimiri cassiquiarensis albigena,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
——————————————,8916,subspecies,-2443998,A.Saimiri cassiquiarensis cassiquiarensis,EOL-000000641210,B.Saimiri cassiquiarensis cassiquiarensis,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
—————————————,8917,species,-2436653,A.Saimiri boliviensis,EOL-000000641211,B.Saimiri boliviensis,=,,,,canonicalName,source; taxonomicStatus; scientificName,
——————————————,8918,subspecies,-2443995,A.Saimiri boliviensis boliviensis,EOL-000000641212,B.Saimiri boliviensis boliviensis,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
——————————————,8919,subspecies,-2443996,A.Saimiri boliviensis peruviensis,EOL-000000641213,B.Saimiri boliviensis peruviensis,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
—————————————,8920,species,-2436654,A.Saimiri vanzolinii,EOL-000000641214,B.Saimiri vanzolinii,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8921,species,-2436649,A.Saimiri ustus,EOL-000000641215,B.Saimiri ustus,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8922,genus,-2420080,A.Cebus,EOL-000000641216,B.Cebus,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,
—————————————,8923,species,-2436633,A.Cebus aequatorialis,EOL-000000641217,B.Cebus aequatorialis,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8924,species,-2436630,A.Cebus versicolor,EOL-000000641218,B.Cebus versicolor,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8925,species,-2436628,A.Cebus capucinus,EOL-000000641219,B.Cebus capucinus,=,,,,scientificName,source; taxonomicStatus; number_of_children,
——————————————,8926,subspecies,-2443984,A.Cebus capucinus curtus,EOL-000000641220,B.Cebus capucinus curtus,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
——————————————,8927,subspecies,-2443983,A.Cebus capucinus capucinus,EOL-000000641221,B.Cebus capucinus capucinus,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
—————————————,8928,species,-2436640,A.Cebus brunneus,EOL-000000641222,B.Cebus brunneus,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8929,species,-2436639,A.Cebus malitiosus,EOL-000000641223,B.Cebus malitiosus,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8930,species,-2436632,A.Cebus leucocephalus,EOL-000000641224,B.Cebus leucocephalus,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8931,species,-2436647,A.Cebus cesarae,EOL-000000641225,B.Cebus cesarae,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8932,species,-2436637,A.Cebus cuscinus,EOL-000000641226,B.Cebus cuscinus,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8933,species,-2436635,A.Cebus unicolor,EOL-000000641227,B.Cebus unicolor,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8934,species,-2436648,A.Cebus yuracus,EOL-000000641228,B.Cebus yuracus,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8935,species,-2436643,A.Cebus imitator,EOL-000000641229,B.Cebus imitator,=,,,,scientificName,source; taxonomicStatus,shared tip
—————————————,8936,species,-2436644,A.Cebus olivaceus,EOL-000000641230,B.Cebus olivaceus,=,,,,scientificName,source; taxonomicStatus,
——————————————,8937,subspecies,-2443987,A.Cebus olivaceus olivaceus,EOL-000000641231,B.Cebus olivaceus olivaceus,=,,,,canonicalName,source; taxonomicStatus; taxonRank; scientificName,shared tip
